title,duration,genre,rating,description,stars,votes
The Gray Man,122,"Action, Thriller",6.5,"When the CIAs most skilled operative-whose true identity is known to none-accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.","Anthony Russo, Joe Russo, | ,     Stars:, Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton","172,136"
Me Time,101,Comedy,5,Follows a dad who finds time for himself for the first time in years while his wife and kids are away. He reconnects with a friend for a wild weekend.,"John Hamburg, | ,     Stars:, Kevin Hart, Mark Wahlberg, Regina Hall, Che Tafari","26,092"
Suits,44,"Comedy, Drama",8.5,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York Citys best lawyers.","Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty","405,863"
Vikings,44,"Action, Adventure, Drama",8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.","Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst","524,630"
The Witcher,60,"Action, Adventure, Drama",8.2,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Henry Cavill, Freya Allan, Anya Chalotra, Mimi Ndiweni","481,837"
The Blacklist,43,"Crime, Drama, Mystery",8,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold","245,591"
Seinfeld,22,Comedy,8.9,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander","314,089"
Lucifer,42,"Crime, Drama, Fantasy",8.1,Lucifer Morningstar has decided hes had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside","318,928"
The Umbrella Academy,60,"Action, Adventure, Comedy",7.9,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","Elliot Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman","243,344"
The Last Kingdom,60,"Action, Drama, History",8.5,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.","Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Mark Rowley","136,936"
Partner Track,60,Drama,6.8,"Centers on Ingrid Yun, an idealistic young lawyer, struggles with her moral compass and her passions as she fights to climb the partner track at an elite New York City law firm.","Arden Cho, Alexandra Turshen, Bradley Gibson, Dominic Sherwood","3,840"
Love in the Villa,114,"Comedy, Romance",5.3,"A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and shell have to share her vacation with a cynical British man.","Mark Steven Johnson, | ,     Stars:, Kat Graham, Tom Hopper, Raymond Ablack, Laura Hopper","7,048"
Black Mirror,60,"Drama, Mystery, Sci-Fi",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanitys greatest innovations and darkest instincts collide.","Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones","535,782"
Brooklyn Nine-Nine,22,"Comedy, Crime",8.4,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPDs 99th Precinct.","Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero","309,004"
Squid Game,55,"Action, Drama, Mystery",8,"Hundreds of cash-strapped players accept a strange invitation to compete in childrens games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.","Lee Jung-jae, Park Hae-soo, Hoyeon, Oh Yeong-su","435,160"
Gilmore Girls,44,"Comedy, Drama",8.2,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.","Lauren Graham, Alexis Bledel, Keiko Agena, Scott Patterson","124,087"
Outlander,60,"Drama, Fantasy, Romance",8.4,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"Caitríona Balfe, Sam Heughan, Sophie Skelton, Richard Rankin","158,268"
Ófærð,60,"Crime, Drama, Mystery",8,"In a remote town in Iceland, Police desperately try to solve a crime as a powerful storm descends upon the town.","Ólafur Darri Ólafsson, Ilmur Kristjánsdóttir, Björn Hlynur Haraldsson, Guðjón Pedersen","21,641"
Never Have I Ever,30,"Comedy, Drama",7.9,"The complicated life of a modern-day first generation Indian American teenage girl, inspired bydy Kalings own childhood.","Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet, John McEnroe","56,216"
Attack on Titan,24,"Animation, Action, Adventure",9,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Josh Grelle, Yûki Kaji, Yui Ishikawa, Marina Inoue","363,297"
Manifest,43,"Drama, Mystery, Sci-Fi",7.1,"A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds.","Melissa Roxburgh, Josh Dallas, J.R. Ramirez, Luna Blaise","59,167"
Locke & Key,48,"Drama, Fantasy, Horror",7.3,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their fathers death.","Darby Stanchfield, Connor Jessup, Emilia Jones, Jackson Robert Scott","84,847"
Day Shift,113,"Action, Comedy, Fantasy",6.1,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.","J.J. Perry, | ,     Stars:, Jamie Foxx, Dave Franco, Natasha Liu Bordizzo, Meagan Good","62,931"
Dark,60,"Crime, Drama, Mystery",8.7,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.","Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne","371,981"
Guillermo del Toros Pinocchio,114,"Animation, Drama, Family",,A darker version of the classic childrens fairy tale of a wooden puppet that transforms into a real living boy.,"Guillermo del Toro, Mark Gustafson, | ,     Stars:, Gregory Mann, Ewan McGregor, Ron Perlman, Finn Wolfhard",
Sex Education,45,"Comedy, Drama",8.4,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey","273,671"
The Lord of the Rings: The Return of the King,201,"Action, Adventure, Drama",9,Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Peter Jackson, | ,     Stars:, Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom","1,819,157"
The Vampire Diaries,43,"Drama, Fantasy, Horror",7.7,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham","318,383"
Virgin River,44,"Drama, Romance",7.4,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.","Martin Henderson, Tim Matheson, Alexandra Breckenridge, Colin Lawrence","41,276"
Family Guy,22,"Animation, Comedy",8.2,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.","Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis","334,757"
Fargo,53,"Crime, Drama, Thriller",8.9,"Various chronicles of deception, intrigue and murder in and around frozennesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks","369,918"
Animal Kingdom,60,"Crime, Drama",8.2,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.","Shawn Hatosy, Ben Robson, Jake Weary, Finn Cole","37,944"
Diario de un Gigoló,50,Drama,6.3,A gigolos life begins to unravel when he becomes involved in a clients family affairs and violates the fundamental rule of his job: dont fall in love.,"Jesús Castro, Victoria White, Fabiola Campomanes, Francisco Denis",538
How I Met Your Mother,22,"Comedy, Romance",8.3,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris","676,121"
The School for Good and Evil,147,"Action, Drama, Fantasy",,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when theyre swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,"Paul Feig, | ,     Stars:, Cate Blanchett, Charlize Theron, Michelle Yeoh, Rachel Bloom",
Heartbreak High,50,"Drama, Romance",7.6,"A fresh look at Hartley High over 20 years on. With her new friends - outsiders Quinni and Darren - Amerie must repair her reputation, while navigating love, sex, and heartbreak.","Ayesha Madon, James Majoos, Chloe Hayden, Asher Yasbincek","1,502"
Wednesday,,"Comedy, Family, Fantasy",,"Follows Wednesday Addams years as a student, when she attempts to master her emerging psychic ability, thwart and solve the mystery that embroiled her parents.","Jenna Ortega, Christina Ricci, Catherine Zeta-Jones, Luis Guzmán",
Community,22,Comedy,8.5,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase","261,138"
Daredevil,54,"Action, Crime, Drama",8.6,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Charlie Cox, Vincent DOnofrio, Deborah Ann Woll, Elden Henson","434,141"
Blue Bloods,43,"Crime, Drama, Mystery",7.7,Revolves around a family of New York cops.,"Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou","40,037"
Bee and PuppyCat,7,"Animation, Short, Action",8.2,"Bee, an unemployed woman is living a normal life, until a grumpy companion named PuppyCat arrives. Follow Bee and and PuppyCat as they travel between reality and Fishbowl Space.","Allyn Rachel, Alexander James Rodriguez, Kent Osborne, Ashly Burch","2,385"
Loving Adults,104,"Crime, Drama, Thriller",6.5,Follows a couple who appear to be living the perfect life after their son is declared healthy following a long-term illness.,"Barbara Topsøe-Rothenborg, | ,     Stars:, Dar Salim, Sonja Richter, Sus Wilkins, Morten Burian","5,861"
Schitts Creek,22,Comedy,8.5,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitts Creek. They relocate there. Culture shock ensues.","Eugene Levy, Catherine OHara, Dan Levy, Annie Murphy","118,638"
Sing 2,110,"Animation, Adventure, Comedy",7.4,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"Garth Jennings, Christophe Lourdelet, | ,     Stars:, Matthew McConaughey, Reese Witherspoon, Scarlett Johansson, Tori Kelly","65,399"
RRR,187,"Action, Drama",8,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920s.,"S.S. Rajamouli, | ,     Stars:, N.T. Rama Rao Jr., Ram Charan Teja, Ajay Devgn, Alia Bhatt","107,203"
Arcane,41,"Animation, Action, Adventure",9,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","Hailee Steinfeld, Kevin Alejandro, Jason Spisak, Terri Douglas","196,697"
The Lørenskog Disappearance,,"Documentary, Crime",6.1,What happened to Anne-Elisabeth Hagen? Where is she? Was she kidnapped by money launderers or is it her husband who may have made her disappear?,,668
The Lord of the Rings: The Two Towers,179,"Action, Adventure, Drama",8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Saurons new ally, Saruman, and his hordes of Isengard.","Peter Jackson, | ,     Stars:, Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom","1,642,708"
All Quiet on the Western Front,147,"Action, Drama, War",8.3,A young German soldiers terrifying experiences and distress on the western front during World War I.,"Edward Berger, | ,     Stars:, Daniel Brühl, Albrecht Schuch, Sebastian Hülk, Anton von Lucke",199
Mr. Harrigans Phone,104,Horror,,"When Mr. Harrigan dies, the teen who befriended and did odd jobs for him, puts his smart phone in his pocket before burial and when the lonely youth leaves his dead friend a message, he is shocked to get a return text.","John Lee Hancock, | ,     Stars:, Kirby Howell-Baptiste, Donald Sutherland, Jaeden Martell, Joe Tippett",
American Psycho,102,"Crime, Drama, Horror",7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","Mary Harron, | ,     Stars:, Christian Bale, Justin Theroux, Josh Lucas, Bill Sage","598,117"
The Hobbit: An Unexpected Journey,169,"Adventure, Fantasy",7.8,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","Peter Jackson, | ,     Stars:, Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis","820,021"
Kleo,44,"Action, Crime, Drama",7.5,"After the fall of the Berlin Wall, a former spy killer is set free and embarks on a revenge spree against the people who conspired to betray her.","Jella Haase, Dimitrij Schaad, Julius Feldmeier, Vincent Redetzki","5,517"
Riverdale,45,"Crime, Drama, Mystery",6.6,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","Lili Reinhart, Camila Mendes, Cole Sprouse, K.J. Apa","143,861"
Sons of Anarchy,45,"Crime, Drama, Thriller",8.6,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates","294,616"
Mad Men,47,Drama,8.7,"A drama about one of New Yorks most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firms most mysterious but extremely talented ad executives, Donald Draper.","Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones","237,030"
The Flash,43,"Action, Adventure, Drama",7.6,"After being struck by lightning, Barry Allen wakes up from his coma to discover hes been given the power of super speed, becoming the Flash, and fighting crime in Central City.","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes","344,187"
Archer,22,"Animation, Action, Comedy",8.6,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,"H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell","153,880"
Dahmer - Monster: The Jeffrey Dahmer Story,534,"Biography, Crime, Drama",8.5,Story of the Milwaukee Monster told from the perspective of the victims and police incompetency that allowed the Wisconsin native to go on a multiyear killing spree.,"Evan Peters, Richard Jenkins, Molly Ringwald, Niecy Nash","5,580"
Mr. Robot,49,"Crime, Drama, Thriller",8.6,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström","383,470"
That 70s Show,22,"Comedy, Drama, Romance",8.1,"A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.","Topher Grace, Laura Prepon, Mila Kunis, Danny Masterson","169,768"
You,45,"Crime, Drama, Romance",7.7,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","Penn Badgley, Victoria Pedretti, Ambyr Childers, Elizabeth Lail","234,218"
Look Both Ways,110,"Comedy, Drama, Romance",6.3,"On the eve of her college graduation, Natalies life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career.","Wanuri Kahiu, | ,     Stars:, Lili Reinhart, Danny Ramirez, Aisha Dee, Jaden Tolliver","14,313"
365 Days,114,"Drama, Romance",3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","Barbara Bialowas, Tomasz Mandes, | ,     Stars:, Anna-Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski, Otar Saralidze","89,071"
I Used to Be Famous,104,"Comedy, Drama, Music",6.6,"Follows Vince, a desperate former popstar who dreams of making a comeback. An impromptu jam session with autistic young drummer Stevie sparks an unexpected friendship between the two misunderstood musicians.","Eddie Sternberg, | ,     Stars:, Ed Skrein, Eleanor Matsuura, Eoin Macken, Leo Long","2,633"
Titanic,194,"Drama, Romance",7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","James Cameron, | ,     Stars:, Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates","1,158,746"
Bridgerton,60,"Drama, History, Romance",7.3,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.","Nicola Coughlan, Luke Thompson, Jonathan Bailey, Bessie Carter","133,119"
Sherlock,88,"Crime, Drama, Mystery",9.1,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves","913,816"
Dexter,53,"Crime, Drama, Mystery",8.7,"Hes smart. Hes lovable. Hes Dexter Morgan, Americas favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.","Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar","720,792"
