title,duration,genre,rating,description,stars,votes
The Woman in the House,208,"Comedy, Crime, Drama",6.4,"When a handsome neighbor moves in across the street, Anna, a heartbroken woman for whom every day is the same, starts to see a light at the end of the tunnel; that is, until she witnesses a gruesome murder. Or did she?","Kristen Bell, Tom Riley, Mary Holland, Cameron Britton","44,195"
Kill Bill: Vol. 1,111,"Action, Crime, Drama",8.2,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Quentin Tarantino, | ,     Stars:, Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen","1,103,348"
Behind Her Eyes,298,"Drama, Mystery, Thriller",7.2,"It follows Louise, a single mom with a son and a part-time job in a psychiatrists office. She begins an affair with her boss and strikes up an unlikely friendship with his wife.","Simona Brown, Eve Hewson, Tom Bateman, Robert Aramayo","60,901"
Bleach,24,"Animation, Action, Adventure",8.2,"High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from Hollows.","Johnny Yong Bosch, Michelle Ruff, Stephanie Sheh, Jamieson Price","53,769"
Uncut Gems,135,"Crime, Drama, Thriller",7.4,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.","Benny Safdie, Josh Safdie, | ,     Stars:, Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo","277,507"
Annihilation,115,"Adventure, Drama, Horror",6.8,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature dont apply.","Alex Garland, | ,     Stars:, Natalie Portman, Jennifer Jason Leigh, Tessa Thompson, Benedict Wong","323,342"
The Mummy,110,"Action, Adventure, Fantasy",5.4,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.","Alex Kurtzman, | ,     Stars:, Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe","189,542"
Orphan Black,44,"Drama, Sci-Fi, Thriller",8.3,A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.,"Tatiana Maslany, Dylan Bruce, Jordan Gavaris, Kevin Hanchard","110,756"
Altered Carbon,60,"Action, Drama, Sci-Fi",7.9,"Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve ad-bending murder to win his freedom.","Chris Conner, Renée Elise Goldsberry, Dichen Lachman, Will Yun Lee","167,469"
Supergirl,43,"Action, Adventure, Drama",6.2,The adventures of Supermans cousin in her own superhero career.,"Melissa Benoist, Chyler Leigh, David Harewood, Katie McGrath","123,705"
Zero Dark Thirty,157,"Drama, History, Thriller",7.4,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.","Kathryn Bigelow, | ,     Stars:, Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong","299,829"
The Irishman,209,"Biography, Crime, Drama",7.8,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,"Martin Scorsese, | ,     Stars:, Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel","382,523"
Jurassic World: Fallen Kingdom,128,"Action, Adventure, Sci-Fi",6.1,"When the islands dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.","J.A. Bayona, | ,     Stars:, Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith","314,340"
Big Mouth,30,"Animation, Comedy, Romance",7.9,Teenage friends find their lives upended by the wonders and horrors of puberty.,"Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas","77,339"
Chilling Adventures of Sabrina,60,"Drama, Fantasy, Horror",7.4,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.","Kiernan Shipka, Ross Lynch, Lucy Davis, Chance Perdomo","93,761"
Death Note,24,"Animation, Crime, Drama",9,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô","316,300"
Booksmart,102,Comedy,7.1,"On the eve of their high-school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.","Olivia Wilde, | ,     Stars:, Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis","117,900"
Heartbreak High,50,"Drama, Romance",7.8,A crash course in the turbulence of being a teen is always on the schedule for the students at Hartley High School in this 1990s series set in Sydney.,"Callan Mulvey, Lara Cox, Emma Roche, Ada Nicodemou","3,208"
Untitled Super Mario Project,,"Animation, Adventure, Comedy",,"A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess. Feature film adaptation of the popular video game.","Aaron Horvath, Michael Jelenic, | ,     Stars:, Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black",
The End of the F***ing World,25,"Adventure, Comedy, Crime",8.1,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.","Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley","186,272"
The Revenant,156,"Action, Adventure, Drama",8,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"Alejandro G. Iñárritu, | ,     Stars:, Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson","794,404"
Red Notice,118,"Action, Comedy, Thriller",6.3,"An Interpol agent successfully tracks down the worlds most wanted art thief, with help from a rival thief. But nothing is as it seems, as a series of double-crosses ensue.","Rawson Marshall Thurber, | ,     Stars:, Dwayne Johnson, Ryan Reynolds, Gal Gadot, Ritu Arya","270,232"
Jessica Jones,56,"Action, Crime, Drama",7.9,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.","Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss","213,221"
Frozen,102,"Animation, Adventure, Comedy",7.4,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","Chris Buck, Jennifer Lee, | ,     Stars:, Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","620,220"
Anne with an E,60,"Drama, Family",8.7,"The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomerys classic novels.","Amybeth McNulty, Geraldine James, R.H. Thomson, Dalila Bela","54,248"
Jane the Virgin,60,Comedy,7.9,"A young, devout Catholic woman discovers that she was accidentally artificially inseminated.","Gina Rodriguez, Andrea Navedo, Yael Grobglas, Justin Baldoni","50,019"
Incantation,110,"Horror, Mystery",6.2,"Six years ago, Li Ronan was cursed after breaking a religious taboo. Now, she must protect her daughter from the consequences of her actions.","Kevin Ko, | ,     Stars:, Hsuan-yen Tsai, Ying-Hsuan Kao, Sean Lin, Ching-Yu Wen","11,424"
Queen of the South,42,"Action, Crime, Drama",8,Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the countrys reigning drug smuggler and to avenge her lovers murder.,"Alice Braga, Hemky Madera, Peter Gadiot, Veronica Falcón","30,158"
Godless,452,"Action, Drama, Western",8.3,"In the 1880s American West, murderous outlaw gang leader Frank Griffin hunts for ex-protege Roy Goode. Franks chase leads him to La Belle, New Mexico--a town inhabited, after aing disaster, almost entirely by women.","Jack OConnell, Michelle Dockery, Scoot McNairy, Merritt Wever","66,821"
Fullmetal Alchemist: Brotherhood,24,"Animation, Action, Adventure",9.1,Two brothers search for a Philosophers Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Kent Williams, Iemasa Kayumi, Matthew Leonhart, Vic Mignogna","164,032"
Ray Donovan,60,"Crime, Drama",8.3,"Ray Donovan, a professional fixer for the rich and famous in Los Angeles, can make anyones problems disappear except those created by his own family.","Liev Schreiber, Eddie Marsan, Dash Mihok, Pooch Hall","86,921"
Wind River,107,"Crime, Drama, Mystery",7.7,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,"Taylor Sheridan, | ,     Stars:, Elizabeth Olsen, Jeremy Renner, Graham Greene, Kelsey Asbille","249,800"
Jumanji: The Next Level,123,"Action, Adventure, Comedy",6.7,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the worlds most dangerous game.","Jake Kasdan, | ,     Stars:, Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan","246,668"
Fakes,30,Comedy,6.3,Follow two teenagers who are best friends and accidentally build one of the largest fake ID empires in North America.,"Emilija Baranac, Jennifer Tong, Richard Harmon, Eric Bempong",594
The IT Crowd,25,Comedy,8.5,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.","Chris ODowd, Richard Ayoade, Katherine Parkinson, Matt Berry","151,277"
DCs Legends of Tomorrow,42,"Action, Adventure, Drama",6.8,"Time-traveling rogue Rip Hunter must recruit a ragtag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Nick Zano","104,446"
Heartstopper,30,"Drama, Romance",8.7,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,"Joe Locke, Kit Connor, Yasmin Finney, William Gao","49,420"
Zodiac,157,"Crime, Drama, Mystery",7.7,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.","David Fincher, | ,     Stars:, Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo, Anthony Edwards","536,068"
Iron Fist,55,"Action, Adventure, Crime",6.4,A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.,"Finn Jones, Jessica Henwick, Jessica Stroup, Tom Pelphrey","130,223"
Merlí. Sapere Aude,50,"Comedy, Drama",7.7,"Pol Rubio starts to study Philosophy at the University of Barcelona while the relationship between Bruno and him begins to strengthen. Pol will meet new friends, new colleagues and new ...                See full summary »","Carlos Cuevas, María Pujalte, Pablo Capuz, Boris Ruiz","2,298"
The Affair,60,Drama,7.9,A struggling novelist and a young waitress strike up an extramarital relationship that promises to forever change the course of their lives.,"Dominic West, Ruth Wilson, Maura Tierney, Julia Goldani Telles","45,649"
Unbelievable,385,"Crime, Drama",8.4,"A teenager is charged with lying about having been raped, but two detectives follow the path to the truth.","Kaitlyn Dever, Toni Collette, Merritt Wever, Blake Ellis","100,699"
Enola Holmes,123,"Action, Adventure, Crime",6.6,"When Enola Holmes-Sherlocks teen sister-discovers her mother is missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.","Harry Bradbeer, | ,     Stars:, Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter","169,720"
Pirates of the Caribbean: Dead Men Tell No Tales,129,"Action, Adventure, Fantasy",6.5,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devils Triangle. Theyre determined to kill every pirate at sea...notably Jack.,"Joachim Rønning, Espen Sandberg, | ,     Stars:, Johnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom","309,009"
Bates Motel,45,"Drama, Horror, Mystery",8.1,"A contemporary prequel to Psycho, giving a portrayal of how Norman Bates psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is.","Vera Farmiga, Freddie Highmore, Max Thieriot, Nicola Peltz Beckham","107,362"
Jujutsu Kaisen,24,"Animation, Action, Adventure",8.6,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shamans school to be able to locate the demons other body parts and thus exorcise himself.,"Junya Enoki, Adam McArthur, Yûichi Nakamura, Yuma Uchida","56,920"
Star Trek: Enterprise,60,"Action, Adventure, Drama",7.5,"A century before Captain Kirks five-year mission, Jonathan Archer captains the United Earth ship Enterprise during the early years of Starfleet, leading up to the Earth-Romulan War and the formation of the Federation.","Scott Bakula, John Billingsley, Jolene Blalock, Dominic Keating","53,374"
Run,90,"Mystery, Thriller",6.7,A homeschooled teenager begins to suspect her mother is keeping a dark secret from her.,"Aneesh Chaganty, | ,     Stars:, Sarah Paulson, Kiera Allen, Sara Sohn, Pat Healy","77,264"
The Green Knight,130,"Adventure, Drama, Fantasy",6.6,A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.,"David Lowery, | ,     Stars:, Dev Patel, Alicia Vikander, Joel Edgerton, Sarita Choudhury","98,337"
All of Us Are Dead,60,"Action, Drama, Fantasy",7.5,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out or turn into one of the rabid infected.,"Ji-hu Park, Chan-Young Yoon, Yi-Hyun Cho, Park Solomon","47,580"
Jumanji: Welcome to the Jungle,119,"Action, Adventure, Comedy",6.9,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","Jake Kasdan, | ,     Stars:, Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black","375,650"
"El Rey, Vicente Fernández",52,"Biography, Drama, Music",6.4,Follows the life of Mexican music icon Vicente Fernandez.,"Enoc Leaño, Marissa Saavedra, Ruben Zamora, Camila Rojas",127
Bodyguard,60,"Crime, Drama, Thriller",8.1,A contemporary thriller featuring the Royalty and Specialist Protection Branch of Londons Metropolitan Police Service.,"Richard Madden, Sophie Rundle, Vincent Franklin, Ash Tandon","121,426"
Luther,60,"Crime, Drama, Mystery",8.4,DCI John Luther is a near-genius murder detective whose brilliantd cant always save him from the dangerous violence of his passions.,"Idris Elba, Dermot Crowley, Michael Smiley, Warren Brown","136,105"
That 90s Show,30,"Comedy, Drama, Romance",,"Now its 1995, Leia Forman is visiting her grandparents for the summer where she bonds with a new generation of Point Place, WI, kids under the watchful eye of Kitty and the stern glare of Red.","Kurtwood Smith, Debra Jo Rupp, Callie Haverda, Mace Coronel",
Fauda,60,"Action, Drama, Thriller",8.2,The human stories on both sides of the Israel-Palestine conflict.,"Lior Raz, Itzik Cohen, Neta Garty, Rona-Lee Shimon","26,699"
Hubie Halloween,103,"Comedy, Mystery",5.2,"Despite his devotion to his hometown of Salem (and its Halloween celebration), Hubie Dubois is a figure of mockery for kids and adults alike. But this year, something is going bump in the night, and its up to Hubie to save Halloween.","Steven Brill, | ,     Stars:, Adam Sandler, Kevin James, Julie Bowen, Ray Liotta","49,569"
The Watcher,,"Drama, Horror, Mystery",,"A married couple moving into their dream home is being threatened by terrifying letters from a stalker, signed- The Watcher.","Luke David Blumm, Terry Kinney, Michael Nouri, Emily Juliette Murphy",
Borgen,58,Drama,8.5,"A political drama about a primeisters rise to power, and how power changes a primeister.","Sidse Babett Knudsen, Birgitte Hjort Sørensen, Søren Malling, Lisbeth Wulff","26,360"
Marcella,45,"Crime, Drama, Mystery",7.4,"Marcella Backland left the Metropolitan Police for the sake of her family, only to have her husband leave her. She returns to her job on the murder squad, investigating a case that seems disturbingly familiar to her.","Anna Friel, Ray Panthaki, Jack Doolan, Jamie Bamber","31,515"
Reign,42,Drama,7.4,"Mary, Queen of Scots, faces political and sexual intrigue in the treacherous world of the French court.","Adelaide Kane, Megan Follows, Celina Sinden, Torrance Coombs","49,625"
Love Between Fairy and Devil,40,"Comedy, Fantasy, Romance",8.6,"A girl whose tribe was vanquished by Demon Lord, Qingcang was reborn. To gain freedom from a curse Dongfang must sacrifice Lanhuas soul. In the process, the heartless demon falls in love with the young fairy.","Dylan Wang, Esther Yu, Haiqiao Xu, Xiaoting Guo",365
Amar,105,"Drama, Romance",5.1,"Laura and Carlos love each other as if every day was the last, and perhaps that first love intensity is what will tear them apart a year later.","Esteban Crespo, | ,     Stars:, María Pedraza, Pol Monen, Natalia Tena, Greta Fernández","4,570"
Freaks and Geeks,44,"Comedy, Drama",8.8,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,"Linda Cardellini, John Francis Daley, James Franco, Samm Levine","142,164"
High Heat,45,Drama,5.9,"When clues to his brothers murder lead Poncho to a fire brigade, he joins it to investigate further and finds romance, family - and a serial killer.","Yomary Cruz, Tania Possick, David DeSantos, Eduardo Capetillo",432
Workin Moms,30,"Comedy, Drama",7.8,"Four very different thirtysomething working-mother friends try to balance their jobs, family lives, and love lives in modern-day Toronto, Canada.","Catherine Reitman, Dani Kind, Philip Sternberg, Ryan Belleville","17,710"
Poldark,60,"Drama, Romance",8.3,"Ross Poldark returns home after American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it.","Aidan Turner, Eleanor Tomlinson, Jack Farthing, Beatie Edney","31,763"
Penny Dreadful,60,"Drama, Fantasy, Horror",8.2,"Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London.","Josh Hartnett, Timothy Dalton, Eva Green, Reeve Carney","121,814"
Medici,60,"Biography, Drama, History",7.9,"A political family drama set in Florence in the early fifteenth century. Cosimo de Medici finds himself at the helm of his banking dynasty when his father, Giovanni, dies suddenly.","Daniel Sharman, Alessandra Mastronardi, Synnove Karlsen, Sebastian De Souza","19,261"
Your Name.,106,"Animation, Drama, Fantasy",8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Makoto Shinkai, | ,     Stars:, Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki","262,352"
Venom,112,"Action, Adventure, Sci-Fi",6.6,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","Ruben Fleischer, | ,     Stars:, Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze","478,585"
Californication,28,"Comedy, Drama",8.3,"A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women.","David Duchovny, Natascha McElhone, Evan Handler, Pamela Adlon","180,641"
The Platform,94,"Horror, Sci-Fi, Thriller",7,A vertical prison with one cell per level. Two people per cell. Only one food platform and twoutes per day to feed. An endless nightmare trapped in The Hole.,"Galder Gaztelu-Urrutia, | ,     Stars:, Ivan Massagué, Zorion Eguileor, Antonia San Juan, Emilio Buale","219,327"
Interceptor,99,"Action, Adventure, Drama",4.5,One Army captain must use her years of tactical training and military expertise when a simultaneous coordinated attack threatens the remote missile interceptor station she is in command of.,"Matthew Reilly, | ,     Stars:, Elsa Pataky, Luke Bracey, Aaron Glenane, Mayen Mehta","22,251"
Shadowhunters,42,"Action, Drama, Fantasy",6.5,"After her mother disappears, Clary must venture into the dark world of demon hunting, and embrace her new role among the Shadowhunters.","Katherine McNamara, Dominic Sherwood, Alberto Rosende, Matthew Daddario","63,040"
Tropic Thunder,107,"Action, Comedy, War",7,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.","Ben Stiller, | ,     Stars:, Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn","413,784"
Howls Moving Castle,119,"Animation, Adventure, Family",8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Hayao Miyazaki, | ,     Stars:, Chieko Baishô, Takuya Kimura, Tatsuya Gashûin, Akihiro Miwa","390,278"
Beverly Hills Cop: Axel Foley,,"Action, Comedy, Crime",,The plot is unknown.,"Mark Molloy, | ,     Stars:, Joseph Gordon-Levitt, Eddie Murphy, Judge Reinhold, Paul Reiser",
iZombie,42,"Comedy, Crime, Drama",7.8,"A medical resident finds that being a zombie has its perks, which she uses to assist the police.","Rose McIver, Malcolm Goodwin, Rahul Kohli, Robert Buckley","67,849"
SPY×FAMILY,24,"Animation, Action, Comedy",8.6,"A spy on an undercover mission gets married and adopts a child as part of his cover. His wife and daughter have secrets of their own, and all three must strive to keep together.","Takuya Eguchi, Atsumi Tanezaki, Saori Hayami, Alex Organ","19,612"
Fighting with My Family,108,"Biography, Comedy, Drama",7.1,A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.,"Stephen Merchant, | ,     Stars:, Dwayne Johnson, Lena Headey, Vince Vaughn, Florence Pugh","81,142"
Captain America: Civil War,147,"Action, Adventure, Sci-Fi",7.8,Political involvement in the Avengers affairs causes a rift between Captain America and Iron Man.,"Anthony Russo, Joe Russo, | ,     Stars:, Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","776,556"
The Ranch,30,"Comedy, Drama, Western",7.5,The son of a Colorado rancher returns home from a semi-pro football career to run the family business.,"Ashton Kutcher, Sam Elliott, Grady Lee Richmond, Elisha Cuthbert","38,824"
Will & Grace,22,"Comedy, Romance",7.3,"Gay lawyer Will and straight interior designer Grace share a New York City apartment. Their best friends are gleeful and proud gay Jack and charismatic, filthy-rich, amoral socialite Karen.","Eric McCormack, Debra Messing, Megan Mullally, Sean Hayes","55,858"
Im Thinking of Ending Things,134,"Drama, Thriller",6.6,"Full of misgivings, a young woman travels with her new boyfriend to his parents secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.","Charlie Kaufman, | ,     Stars:, Jesse Plemons, Jessie Buckley, Toni Collette, David Thewlis","85,315"
The Wonder,103,"Drama, Mystery, Thriller",7.6,"A tale of two strangers who transform each others lives, a psychological thriller, and a story of love pitted against evil.","Sebastián Lelio, | ,     Stars:, Florence Pugh, Niamh Algar, Ciarán Hinds, Tom Burke",87
The Midnight Club,,"Drama, Horror, Mystery",,"The Midnight Club follows a group of five terminally ill patients at Brightcliffe Hospice, who begin to gather together at midnight to share scary stories.","Samantha Sloyan, Zach Gilford, Igby Rigney, Heather Langenkamp",
Black Clover,24,"Animation, Action, Adventure",8.3,"Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus.","Dallas Reid, Jill Harris, Cris George, Christopher Sabat","22,411"
Russian Doll,30,"Comedy, Drama, Mystery",7.8,A cynical young woman in New York City keeps dying and returning to the party thats being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.,"Natasha Lyonne, Charlie Barnett, Greta Lee, Elizabeth Ashley","94,732"
Snowpiercer,126,"Action, Sci-Fi, Thriller",7.1,"In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.","Bong Joon Ho, | ,     Stars:, Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris","359,095"
Below Deck Mediterranean,43,Reality-TV,7.5,"A reality show following the crew of the Ionian Princess, a luxury charter yacht in the Mediterranean.","Sandy Yawn, Hannah Ferrier, Malia White, Colin Macy-OToole","2,757"
Lost in Space,60,"Adventure, Drama, Family",7.3,"After crash-landing on an alien planet, the Robinson family fight against all odds to survive and escape, but theyre surrounded by hidden dangers.","Molly Parker, Toby Stephens, Maxwell Jenkins, Taylor Russell","99,084"
The Forgotten Battle,124,"Drama, War",7.1,"1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Schelde. Their choices differ, but their goal is the same: freedom.","Matthijs van Heijningen Jr., | ,     Stars:, Gijs Blom, Jamie Flatters, Susan Radder, Jan Bijvoet","28,608"
HollyBlood,87,"Comedy, Fantasy, Horror",4.3,"Javi, a perfectly ordinary teenager who doesnt suspect that his crush on Sara might be reciprocated. Through a string of misunderstandings, Sara comes to believe that Javi is in possession of supernatural powers.","Jesús Font, | ,     Stars:, Óscar Casas, Isa Montalbán, Jordi Sánchez, Carlos Suárez",564
A Cinderella Story,95,"Comedy, Family, Romance",5.9,"Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the schools Halloween dance.","Mark Rosman, | ,     Stars:, Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd","87,840"
6 Underground,128,"Action, Thriller",6.1,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.","Michael Bay, | ,     Stars:, Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy","174,852"
Happy Valley,58,"Crime, Drama, Thriller",8.5,Yorkshire based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,"Sarah Lancashire, Siobhan Finneran, Charlie Murphy, James Norton","39,851"
The Stranger,363,"Crime, Drama, Mystery",7.3,Follows the lives of suburban families whose secrets and lies are made public by the appearance of a stranger.,"Richard Armitage, Shaun Dooley, Siobhan Finneran, Jacob Dudman","50,086"
Public Enemies,140,"Action, Biography, Crime",7,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson, and Pretty Boy Floyd during a booming crime wave in the 1930s.","Michael Mann, | ,     Stars:, Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke","302,797"
Sausage Party,89,"Animation, Adventure, Comedy",6.1,A sausage strives to discover the truth about his existence.,"Greg Tiernan, Conrad Vernon, | ,     Stars:, Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell","194,159"
Revenge,44,"Drama, Mystery, Thriller",7.8,An emotionally troubled young woman sets out to exact revenge against the people who wronged her father.,"Madeleine Stowe, Emily VanCamp, Gabriel Mann, Nick Wechsler","119,927"
The Invitation,100,"Drama, Horror, Mystery",6.6,"A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions.","Karyn Kusama, | ,     Stars:, Logan Marshall-Green, Emayatzy Corinealdi, Michiel Huisman, Tammy Blanchard","108,509"
Paddington 2,103,"Adventure, Comedy, Family",7.8,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucys 100th birthday, only for the gift to be stolen.","Paul King, | ,     Stars:, Ben Whishaw, Hugh Grant, Hugh Bonneville, Sally Hawkins","77,861"
Shameless,90,"Comedy, Crime, Drama",8,The lives and relationships of a group of siblings and their estranged father Frank Gallagher on a rough Manchester estate.,"David Threlfall, Rebecca Atkinson, Alice Barry, Nicky Evans","16,895"
The Girl in the Mirror,56,"Drama, Horror, Mystery",6.2,"After losing her memory in a bizarre accident that kills most of her classmates, Alma tries to unravel what happened that day and regain her identity.","Mireia Oriol, Álex Villazán, Pol Monen, Claudia Roset","1,472"
Terrifier,82,"Horror, Thriller",5.6,"On Halloween night, Tara Heyes finds herself as the obsession of a sadistic murderer known as Art the Clown.","Damien Leone, | ,     Stars:, Jenna Kanell, Samantha Scaffidi, David Howard Thornton, Catherine Corcoran","19,119"
The Blues Brothers,133,"Action, Adventure, Comedy",7.9,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.","John Landis, | ,     Stars:, John Belushi, Dan Aykroyd, Cab Calloway, John Candy","199,019"
Merlí,58,"Comedy, Drama, Romance",8.6,"TV series about a high school philosophy teacher, Merlí, who teaches in an original way, and about the students of his class, including his own son, and the relationship, friendship, love, and problems among the students of the class.","Francesc Orella, Pere Ponce, Carlos Cuevas, Marta Marco","8,555"
Polar,118,"Action, Thriller",6.3,"A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.","Jonas Åkerlund, | ,     Stars:, Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick, Fei Ren","89,645"
The Unforgivable,112,"Crime, Drama",7.1,A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.,"Nora Fingscheidt, | ,     Stars:, Sandra Bullock, Viola Davis, Vincent DOnofrio, Jon Bernthal","107,709"
